"","unlist.questions."
"457","본인의 성격 중 단점은 무엇인가요?"
"458","본인의 역할로 인한 결과는 어떻습니까?"
"459","본인의 전공과 지원 직무를 연결하여 보세요."
"460","선택한 직무를 위해 어떤 수업을 베웠습니까?"
"461","선택한 직무를 위해 어떤 수업을 수강했고 무엇을 배웠나요?"
"462","소통에서 가장 중요한 것은 무엇이낙요?"
"463","아침밥을 먹고 왔나요?"
"464","에어 서스펜션이 들어간 현대자동차의 차량을 말해보시오"
"465","인생에서 가장 도전적이었던 경험은 무엇입니까?"
"466","자기소개서에서 언급한 내용 외에 목표를 성취했던 경험이 있나요?"
"467","자주 조장을 맡는 편인가요?"
"468","전역후 무엇을 할 것인가요?"
"469","졸업하고 무엇을 할 것인가요?"
"470","졸업하고 무엇을 했나요?"
"471","중국어 공부를 한 이유와 어떻게 공부했는지 말해보세요."
"472","지원 동기가 무엇입니까?"
"473","지원동기를 말해보세요."
"474","취미가 무엇이고 취미를 가지게 된 계기가 있나요?"
"475","클러치 최적화 방안은 무엇이 있는지 말해보시오."
"476","팀 활동에서 갈등 상황이 있었나요?"
"477","팀원과 트러블이 있었던 경험이 있습니까?"
"478","팀으로 활동하면서 도전적인 경험을 이야기 해보세요."
"479","팀을 이루어 리더십을 발휘한 경험이 있나요?"
"480","팀 활동에 불화가 있는 경우 어떻게 해결하였나요?"
"481","평소에도 팀에서 본인이 조장을 맡는 편인가요?"
"482","품질 개선 방안에 대해 어떻게 생각합니까?"
"483","프로젝트를 했던 팀의 성격과 해결 과정을 말해보세요."
"484","행복합니까?"
"485","현대자동차 파워트레인의 장단점에 대해 말해보시오"
"486","현대자동차가 개발해야 할 기술은 무엇이라 생각하나요?"
"487","현대자동차의 강점과 약점이 무엇이라고 생각합니까?"
"488","현대자동차의 복리후생에 대해 아는 대로 말해보세요."
"489","현대파워텍과 현대자동차를 비교해보시오"
"490","A회사를 다니면서 지원한 이유는 무엇인가?"
"491","A회사의 장단점은 무엇인가?"
"492","술에 대한 본인의 생각은 어떠한가요?"
"493","면접이 끝나면 누구에게 가장 감사할 것 같나요?"
"494","소통이 무엇이라고 생각하는지 말해보세요"
"495","여성 지원자로서 강점이 무엇이 있는가?"
"496","인턴하면서 가장 좋았던 점은 무엇인가요?"
"497","다른 사람을 도와준 적이 있습니까?"
"498","도전을 해본 경험이 있습니까?"
"499","살면서 어떤 도전을 하였습니까?"
"500","알바를 하며 힘들었던 경험이 있습니까?"
"501","편의점 알바에서 가장 힘들었던 점이 무엇입니까?"
"502","일하고 싶은 파트가 있습니까?"
"503","학과주점 운영을 했던 경험을 말해보세요."
"504","한화L&C가 주최한 ~교육에서 3등을 할 수 있었던 이유가 무엇이라고 생각합니까?"
"505","타인과 갈등을 빚었던 경험이 있습니까?"
"506","팀으로 활동한 경험 중 가장 성실히 임했던 경험은 무엇입니까?"
"507","What do you think about this sentence? ""Practice make perfect"""
"508","가장 열정적으로 진행한 일이 있습니까?"
"509","본인이 가장 열정적으로 진행한 일은 무엇이었나요?"
"510","토론 주제에서 의견을 바꾼 특별한 이유가 있습니까?"
"511","프로젝트 경험 중 제일 인상 깊었던 것이 무엇입니까?"
"512","Do you have an experiance at very cold region?"
"513","본인의 대답에서 해당 방안의 단점은 무엇이라고 생각하나요?"
"514","조직의 목표를 위해서 헌신한 경험이 있나요?"
"515","팀의 목표를 위해 자신이 주도적으로 활동한 것은 무엇입니까?"
"516","프리미엄 자동차에서 가장 중요하다고 생각하는 것은 무엇인가요?"
"517","현대자동차를 지원한 이유가 있습니까?"
"518","팀원의욕 저하를 해결하는 방법이 있나요?"
"519","상사가 틀린 주장을 옳다고 주장한다면 어떻게 할 건가요?"
"520","상사가 틀린 주장을 옳다고 주장한다면 어떻게 할 것인가"
"521","울산에 살면서 현대자동차 다니는 사람을 보면 어떤가요?"
"522","울산에 살면서 현대자동차 다니는 사람을 보면 어떻습니까?"
"523","그랜져 하이브리드 차량에 장착된 모터 타입은 무엇입니까?"
"524","기하공차에 대해 설명해보시오"
"525","대외활동을 해본 경험이 있나요?"
"526","팀프로젝트를 진행한 경험이 있나요?"
"527","팀프로젝트를 진행한 경험이 있습니까?"
"528","본인이 공공기관에 비해 사기업에 어울린다고 생각하는 이유를 설명하시오."
"529","현재 현대자동차의 문제점은 무엇이고, 그것을 해결할 수 있는 방안은 무엇인가?"
"530","덩치 큰 고등학생 2명이 골목길에서 담배를 피우는데, 본인이라면 어떻게 할 것인가?"
"531","단점을 말해보라."
"532","당신이 생각하는 정의란 무엇인가?"
"533","이들을 타이르는 것은 정의이고, 그렇지 않는 것은 정의가 아닌데, 이 상황에서 어떻게 할 것인가?"
"534","회사에서 귀하에게 7,000만원이라는 연봉을 지급하면, 당신은 회사를 위해 무엇을 할 것인가?"
"535","마지막으로 하고 싶은말은 무엇인가?"
"536","열정적으로 어떤 일에 도전했던 경험에 대해 설명하시오."
"537","팀 내에서 본인의 역할이 무엇이었느는지 설명하시오."
"538","평소 친구들이 본인을 어떻게 평가하는지 설명하시오."
"539","졸업 후 공백기간에 무얼 했는가?"
"540","졸업후 공백기간에 무얼 했는지"
"541","친구들간의 다툼이 있을때 중간에서의 본인의 해결책은 무엇인가요?"
"542","친구들간의 다툼이 있을때 중간에서의 나의 해결책은 무엇인가?"
"543","전공과 관련하여 수행한 프로젝트가 있는가?"
"544","전공과 관련하여 수행한 프로젝트가 있는가?"
"545","공대전공이지만 영업직을 선택한 이유는 무엇입니까?"
"546","현대자동차에 지원한 이유는 무엇인가"
"547","팀원끼리 의견이 안 맞고 부딪힌적 있는가? 있다면 어떻게 해결했는가?"
"548","팀원끼리 의견이 안 맞고 부딪힌적?어떻게 해결했는지?"
"549","공대에서 여학우로 살아남은 본인의 강점은 무엇이라고 생각하나요?"
"550","공대에서 여학우로 살아남은 본인의 강점은 무엇이라고 생각하는가"
"551","인생의 전환점이 있는가?"
"552","현대자동차만의 장점이 있는가?"
"553","사람들과 트러블이 생긴적이 있습니까?"
"554","자동차가 점점 전자화되어가는 추세에서 단점을 말해보시오"
"555","오랫동안 해온 것 중에서 가장 의미 있는 것은 무엇인가?"
"556","이공계열 전공인데 왜 영업직을 지원했는가?"
"557","10년 뒤 자기 모습을 말해보시오."
"558","20대가 가기 전 꼭 하고 싶은 일을 선착순으로 10초 내로 대답하라."
"559","골프공의 표면에 요철이 있는데, 왜 있는 것인가?"
"560","노무현 대통령의 장단점과 자신을 연관시켜 말해보시오."
"561","다른 회사에 지원하였는가?"
"562","독창적인 아이디어를 낸 경험은 무엇인가?"
"563","디젤엔진에서 진동소음을 줄이는 방법은?"
"564","디젤엔진에서 N0X를 줄이는 방법은?"
"565","무슨 일을 시작하기 전에 준비를 많이 하는 편인가?"
"566","바이오 산업이 앞으로 전망있다고 생각하는가?"
"567","본인이 가장 도전적으로 임했던 일은 무엇인가?"
"568","본인이 했던 실패 경험은 무엇인가?"
"569","성격이 내성적인데, 어떻게 극복할 것인가?"
"570","소나타 NF 디자인 및 인테리어가 마음에 드는지 의견을 영어로 밝히시오."
"571","승용차, SUV, RV등 종류가 많은데, 각각을 정의해봐라."
"572","앞으로 어떤 자동차를 만들면 잘 팔리겠는가?"
"573","양극화에 대해 말해보시오."
"574","오늘 아침에 어떻게 시험장에 왔는지 영어로 답하시오."
"575","외제차가 급속도로 늘어나고 있는것에 대해 어떻게 생각하는가?"
"576","우리나라에선 어떤 차가 가장 적합하다고 생각하는가?"
"577","원자력을 사용하는 것에 대해 어떻게 생각하는가?"
"578","주말에 무엇을 할 계획인지 영어로 설명하시오."
"579","지원한 곳과 다른 지역에서 근무해도 괜찮은가?"
"580","팀 활동에서 맡은 역할은 무엇인가?"
"581","학점이 낮은데 왜 그런가?"
"582","핸드폰 보급률이 우리나라가 높은 이유는 뭐라고 생각하는가?"
"583","현기차 중 하나를 골라 대외에서 보는 기업이미지를 말해보시오."
"584","현기차가 할 수 있는 부의 분배에 대해 말해보시오."
"585","IQS에 대해 말해보시오."
"586","품질경영팀에서 경험 및 가지고있는 능력을 가지고 본인이 잘 할 수 있는 구체적인 이유를 말해보시오"
"587","품질경영팀에서 경험 및 가지고있는 능력을 가지고 자신이 잘 할 수 있는 구체적인 이유를 말해보시오"
"588","자신의 단점은 무엇인가?"
"589","여자친구있습니까?"
"590","자신이 살아오면서 실패한 경험은 어떤것이 있나요"
"591","팀프로젝트를 할때 부당하게 많은 과제를 부여 받은 적이 있나요 있다면 어떻게 대처했고 그때의 생각은 어땠나요"
"592","학교 또는 단체에서 협력을 통해서 주어진 과제를 해결한 예는 어떤것들이 있나요"
"593","가족들과 밥은 얼마나 자주 같이 먹는가? 영어로 말해보세요"
"594","우리나라에 거주하는 해외 인력에 대해 어떻게 생각하는가? 영어로 말해보세요"
"595","저녁 메뉴로 주로 무엇을 먹는지 영어로 말해보세요"
"596","지금 느낌을 영어로 말해보세요"
"597","자주 가는 음식점에 대해 영어로 설명해보세요"
"598","재료를 강화시키는 방법 3가지 이상 발표하고 예를 들어보세요 만약 어떤 재료가 고온에 계속 노출되는 재료라면 그 강화방법 중 어떤 것을 고를 것인지 발표해보세요"
"599","해결해야 할 문제가 있는데 상사와 의견이 다를 경우 어떻게 의견을 조율하겠는가?"
"600","회사에 상담하는 곳이 생긴다면 이용하겠는가?"
"601","자기소개를 해보세요."
"602","업무를 하다가 본인과 의견이 달랐을 때 어떻게 대처할 건가요?"
"603","같이 일하기 힘든 사람이 있을 때 어떻게 할 건가요?"
"604","자기소개를 해주세요"
"605","본인이 업무를 수행하는데 있어서 강점이라고 생각하는 것은 무엇인가요?"
"606","본인만의 원칙은?"
"607","함께 일하기 어려운 직원의 유형은?"
"608","어려운 유형의 민원이 왔을 때 대처법을 말해보세요."
"609","마지막 할말이 있으면 말씀해주세요"
"610","본인의 가치관과 인생관을 얘기하고, 해당 직무에 필요한 자질이 무엇인지 말해보세요."
"611","최근에 맡아서 수행했던 역할은 무엇이며 이것이 건보에 어떻게 연결되나요?"
"612","본인의 단점은? (면접용 같은 장점같은 단점 말고)"
"613","살면서 문제가 발생 하였을때 잘 해결한 적이 있나요?"
"614","공동체속에서의 갈등을 극복한 경험을 말해보세요."
"615","국민건강보험공단이 다른 공공기관보다 더 도덕성을 중시해야하는 이유를 말해보세요."
"616","봉사활동경험이 있나요?"
"617","카페사장이라고 가정하고 빨대 10만개의 재고를 소진해야한다면 어떻게 할건가요?"
"618","조직에서 이거 하난 자신있다 하는 것은 무엇인가요?"
"619","자기 전문성 향상을 위해 어떤 노력을 했는가?"
"620","타인으로 부터 들었던 안좋은 점을 말하고 그것을 극복하기 위해 어떤 노력을 했는가?"
"621","아까 카테고리화 해서 매뉴얼 작성했다고 했는데, 어떻게 나눴는가?"
"622","갈등을 해결한 경험에 대해 말해보세요."
"623","원리원칙을 지킨 사례에 대해 말해보세요."
"624","갈등 중재한 사례 한개 더 말해보라"
"625","지원동기가 무엇입니까?"
"626","민원을 응대했던 경험이 있는가?"
"627","고객의 요구사항을 사전에 파악했던 경험이 있는가?"
"628","자기소개+지원동기(1분안으로 짧게)를 말해보세요."
"629","건강보험공단이 하는 일을 설명해보세요."
"630","성격의 장점을 말해보세요."
